Year;Crime Type;Male 12-14	;Female 12-14	;Male 15-17;Female 15-17;Male 18-24	;Female 18-24	;Male 25-34;Female 25-34;Male 35-44;Female 35-44;Male 45-54;Female 45-54;Male 55-64;Female 55-64;Male 65 +;Female 65 +;Male Unknown;Female Unknown
2017;Kidnapping;25.0;;  116;3.0;  946;  24; 1 052;36.0;  454;30.0;  179;10.0;  50;5.0;12.0;2.0;;
2017;Defamation;1.0;;  1;1.0;  660;  44; 1 263;67.0; 1 019;51.0;  513;32.0;  123;7.0;27.0;3.0;;
2017;Theft;716.0;43.0; 4 298;140.0; 15 710;  857; 9 554;667.0; 3 346;382.0; 1 058;147.0;  238;32.0;27.0;6.0;3.0;
2017;Robbery;454.0;5.0; 2 172;19.0; 4 935;  104; 3 216;77.0;  993;34.0;  220;10.0;  39;1.0;4.0;;2.0;
2017;Swindling;1.0;;  20;1.0;  699;  46; 1 965;80.0; 1 783;79.0;  735;44.0;  234;16.0;37.0;5.0;;
2017;Production and commerce of drugs;53.0;4.0;  670;30.0; 4 808;  165; 5 606;240.0; 2 527;129.0;  911;77.0;  274;24.0;40.0;10.0;;
2017;Use and purchase of drugs;4.0;1.0;  203;6.0; 3 310;  74; 2 474;39.0;  606;12.0;  159;;  30;;3.0;;1.0;
2017;Forgery;2.0;;  42;10.0; 1 151;  68; 3 060;101.0; 2 503;79.0; 1 167;57.0;  269;13.0;42.0;2.0;;
2017;Bad treatment;;;  2;;  7;  7;  17;7.0;  15;9.0;  13;5.0;  1;;;;;
2017;Embezzlement;;;;;  2;  2;  41;3.0;  51;4.0;  60;;  10;1.0;2.0;;;
2017;Bribery;;;;;  30;  1;  42;1.0;  46;1.0;  24;1.0;  5;;1.0;;;
2017;Smuggling;2.0;;  24;; 1 143;  14; 2 164;37.0; 1 601;51.0;  874;28.0;  295;25.0;52.0;3.0;;
2017;Traffic crimes;1.0;;  4;;  643;  5; 1 811;40.0; 1 647;17.0;  982;1.0;  263;;15.0;;;
2017;Forestry crimes;;;  1;;  30;;  91;;  136;1.0;  115;3.0;  71;2.0;32.0;;;
2017;Crimes related with firearms and knifes;3.0;;  18;1.0; 1 333;  15; 2 109;19.0; 1 232;10.0;  511;2.0;  150;3.0;38.0;1.0;;
2017;Opposition  to the  Bankruptcy   and Enforcement Law;;;;;  759;  56; 4 705;215.0; 5 801;330.0; 3 312;188.0; 1 058;58.0;199.0;13.0;1.0;
2017;Opposition to the Military Criminal Law;1.0;;  1;;  769;;  111;;  21;;  3;;  1;;;;;
2017;Threat;6.0;;  154;4.0; 1 851;  26; 3 004;61.0; 1 929;59.0;  851;18.0;  221;8.0;42.0;1.0;;
2017;Damage to property;2.0;;  22;;  854;  26;  802;22.0;  298;7.0;  99;10.0;  28;1.0;7.0;;;
2017;Prevention of performance;;;  21;;  769;  14;  857;37.0;  450;17.0;  167;10.0;  36;1.0;;1.0;;
2017;Contrary to the measures for family protection;1.0;;  13;;  535;  9; 1 518;32.0; 1 639;33.0;  753;12.0;  194;4.0;51.0;;1.0;
2017;Other crimes;30.0;1.0;  533;16.0; 6 081;  388; 10 254;513.0; 6 944;371.0; 3 166;195.0;  931;58.0;160.0;18.0;2.0;1.0
2016;Homicide;46.0;2.0;  412;12.0; 2 076;  49; 2 544;44.0; 1 244;38.0;  645;11.0;  257;6.0;58.0;;;
2016;Assault;33.0;;  325;1.0; 5 870;  129; 8 300;184.0; 5 240;162.0; 2 451;73.0;  683;17.0;111.0;7.0;;
2016;Sexual crimes;238.0;;  668;5.0; 1 438;  7; 1 383;13.0;  863;17.0;  538;9.0;  239;2.0;86.0;;3.0;
2016;Kidnapping;18.0;;  105;4.0; 1 022;  36; 1 091;34.0;  460;27.0;  185;21.0;  55;7.0;8.0;2.0;;
2016;Defamation;;;  11;1.0;  662;  28; 1 251;66.0; 1 008;59.0;  467;32.0;  119;7.0;18.0;1.0;;
2016;Theft;466.0;19.0; 3 041;105.0; 13 088;  668; 8 508;654.0; 3 154;364.0; 1 097;167.0;  243;46.0;31.0;4.0;2.0;
2016;Robbery;382.0;7.0; 1 882;29.0; 3 772;  85; 2 438;69.0;  765;36.0;  180;18.0;  26;2.0;1.0;;;1.0
2016;Swindling;;;  17;;  675;  51; 1 790;95.0; 1 491;66.0;  720;45.0;  181;16.0;32.0;;;
2016;Production and commerce of drugs;35.0;4.0;  463;33.0; 4 131;  163; 5 353;209.0; 2 475;158.0; 1 032;81.0;  298;24.0;53.0;3.0;;
2016;Use and purchase of drugs;;;  68;2.0; 1 913;  43; 1 272;19.0;  352;8.0;  95;;  20;1.0;4.0;;;
2016;Forgery;2.0;;  38;3.0; 1 079;  56; 2 730;103.0; 2 293;62.0; 1 092;39.0;  254;7.0;27.0;2.0;;
2016;Bad treatment;;;;;  6;;  21;2.0;  13;3.0;  8;;  3;;;;;
2016;Embezzlement;;;;;  2;  2;  39;1.0;  68;2.0;  39;;  15;;;;;
2016;Bribery;;;;;  25;  3;  50;;  28;2.0;  20;;  2;2.0;;1.0;;
2016;Smuggling;4.0;;  13;;  666;  3; 1 386;13.0;  959;21.0;  590;13.0;  170;4.0;36.0;;;
2016;Traffic crimes;;;;;  428;  5; 1 134;13.0; 1 037;10.0;  646;1.0;  135;;6.0;;;
2016;Forestry crimes;;;  4;;  26;;  63;3.0;  89;;  76;;  31;;11.0;;;
2016;Crimes related with firearms and knifes;;;  16;;  964;  11; 1 654;15.0;  957;11.0;  392;4.0;  114;1.0;25.0;;;
2016;Opposition  to the  Bankruptcy   and Enforcement Law;;;;;  806;  63; 4 977;246.0; 5 971;313.0; 3 493;181.0; 1 128;71.0;223.0;12.0;4.0;
2016;Opposition to the Military Criminal Law;;;;;  623;;  68;;  16;;  1;;;;;;;
2016;Threat;7.0;;  182;8.0; 1 891;  47; 3 517;77.0; 2 377;63.0; 1 103;39.0;  269;8.0;45.0;2.0;;
2016;Damage to property;2.0;;  17;;  951;  16;  809;35.0;  378;25.0;  139;9.0;  34;3.0;10.0;;;
2016;Prevention of performance;1.0;;  10;;  522;  5;  548;19.0;  280;7.0;  96;2.0;  19;2.0;;;;
2016;Contrary to the measures for family protection;2.0;;  17;;  572;  11; 1 754;34.0; 1 713;20.0;  806;10.0;  238;2.0;47.0;2.0;;
2016;Other crimes;23.0;;  412;6.0; 4 602;  226; 7 939;401.0; 5 324;245.0; 2 501;134.0;  674;43.0;106.0;4.0;2.0;1.0
2015;Homicide;69.0;4.0; 538;13.0;2 283; 49;2 746;72.0;1 389;30.0; 755;22.0; 255;6.0;72.0;;;
2015;Assault;30.0;; 355;2.0;5 749; 115;8 515;182.0;5 341;159.0;2 465;63.0; 630;13.0;106.0;1.0;4.0;
2015;Sexual crimes;228.0;; 597;4.0;1 470; 11;1 334;16.0; 911;11.0; 464;9.0; 215;3.0;62.0;;5.0;
2015;Kidnapping;20.0;; 95;3.0; 883; 25; 974;23.0; 438;14.0; 162;12.0; 37;1.0;15.0;;;
2015;Defamation;;; 8;1.0; 553; 31;1 064;57.0; 806;48.0; 421;29.0; 99;11.0;14.0;1.0;;
2015;Theft;466.0;31.0;2 937;128.0;12 352; 699;8 114;616.0;2 955;349.0;1 009;116.0; 242;32.0;29.0;6.0;12.0;
2015;Robbery;319.0;6.0;1 899;21.0;4 025; 89;2 534;71.0; 804;48.0; 174;8.0; 38;1.0;3.0;2.0;3.0;
2015;Swindling;;;;; 466; 47;1 322;65.0;1 124;54.0; 486;30.0; 142;9.0;21.0;2.0;11.0;1.0
2015;Production and commerce of drugs;28.0;3.0; 376;18.0;3 289; 144;4 459;178.0;2 214;129.0; 919;50.0; 271;17.0;42.0;5.0;1.0;
2015;Use and purchase of drugs;;; 24;1.0;1 728; 32;1 275;21.0; 334;8.0; 81;; 26;2.0;;;;
2015;Forgery;3.0;; 46;3.0; 879; 62;2 302;69.0;1 873;48.0; 811;24.0; 191;5.0;16.0;3.0;1.0;
2015;Bad treatment;;;;; 2;; 16;5.0; 20;3.0; 7;1.0;;;;;;
2015;Embezzlement;;;;; 3; 1; 51;4.0; 87;2.0; 55;2.0; 12;;;;;
2015;Bribery;;;;; 14; 3; 24;; 22;1.0; 15;2.0; 2;1.0;;;;
2015;Smuggling;1.0;; 13;; 531; 5;1 174;8.0; 799;6.0; 424;13.0; 167;5.0;18.0;3.0;1.0;
2015;Traffic crimes;2.0;; 2;; 290; 4; 865;15.0; 824;6.0; 449;1.0; 118;;8.0;;;
2015;Forestry crimes;;;;; 17;; 85;2.0; 91;; 70;1.0; 39;3.0;9.0;;;
2015;Crimes related with firearms and knifes;1.0;; 18;1.0; 950; 5;1 728;15.0; 963;10.0; 396;5.0; 112;2.0;20.0;;;
2015;Opposition  to the  Bankruptcy   and Enforcement Law;;;;; 602; 58;3 782;184.0;4 452;225.0;2 573;124.0; 808;35.0;170.0;5.0;6.0;
2015;Opposition to the Military Criminal Law;;;;; 350;; 44;; 13;; 1;;;;;;;
2015;Threat;5.0;; 176;2.0;1 525; 34;2 859;52.0;1 985;55.0; 818;21.0; 242;2.0;30.0;2.0;;
2015;Damage to property;5.0;; 34;; 897; 29; 793;28.0; 332;17.0; 127;8.0; 23;2.0;12.0;;1.0;
2015;Prevention of performance;1.0;; 14;; 459; 13; 592;15.0; 245;5.0; 100;1.0; 22;1.0;2.0;;;
2015;Contrary to the measures for family protection;2.0;; 35;; 649; 8;1 690;27.0;1 743;18.0; 777;19.0; 219;7.0;50.0;;2.0;
2015;Other crimes;28.0;4.0; 366;7.0;3 820; 201;6 445;298.0;4 334;191.0;2 096;107.0; 601;47.0;113.0;5.0;1.0;1.0
2014;Homicide;56.0;2.0; 514;9.0;2 376; 49;2 979;70.0;1 641;32.0; 780;15.0; 284;6.0;73.0;1.0;;
2014;Assault;28.0;1.0; 315;2.0;5 756; 104;8 774;183.0;5 603;165.0;2 779;79.0; 832;25.0;148.0;8.0;4.0;
2014;Sexual crimes;210.0;; 623;3.0;1 584; 5;1 421;19.0; 904;13.0; 456;15.0; 215;;61.0;2.0;3.0;
2014;Kidnapping;29.0;; 94;4.0;1 113; 11;1 294;38.0; 508;26.0; 182;13.0; 58;3.0;10.0;1.0;2.0;
